transaction_id,date,amount,category,merchant,payment_method,location,income,monthly_budget,savings,investment,transaction_type,is_anomaly
1,2023-08-05 18:21:03,19900.7,Healthcare,Apollo Pharmacy,Debit Card,Bangalore,27869.0,19701.95,9712.44,2374.02,expense,0
2,2023-05-26 13:12:42,7781.91,Investment,Brokerage Account,Credit Card,Chennai,50510.0,35826.76,11165.61,9036.71,expense,0
3,2026-01-17 07:08:45,1261.36,Food,Global Travel Pay,Credit Card,Remote,44065.0,26496.8,9632.52,4258.69,expense,1
4,2025-12-20 12:31:23,15285.65,Healthcare,Health Clinic,Debit Card,Chennai,188379.0,141416.73,47207.03,26314.49,expense,0
5,2023-05-25 01:48:56,7264.19,Bills,Gas Utility,Credit Card,Mumbai,98688.0,79748.97,12752.13,16065.72,expense,0
6,2023-03-09 11:56:59,938.7,Entertainment,Game Zone,UPI,Hyderabad,46918.0,40211.95,7021.01,8538.93,expense,0
7,2024-03-31 10:28:42,32817.49,Investment,ETF Platform,Cash,Chennai,83053.0,74183.1,26901.55,14894.14,expense,0
8,2024-03-25 13:09:54,2183.3,Travel,Uber,Debit Card,Chennai,59636.0,53446.66,16740.14,3756.91,expense,0
9,2025-09-14 12:02:01,40636.07,Investment,Brokerage Account,UPI,Mumbai,44065.0,26496.8,9632.52,4258.69,income,0
10,2025-08-04 06:02:59,12062.33,Healthcare,City Hospital,Credit Card,Remote,152534.0,121650.52,43823.09,10289.64,expense,0
11,2024-02-24 08:23:03,8911.25,Shopping,Flipkart,Net Banking,Delhi,168326.0,140097.12,43406.48,31721.93,expense,0
12,2024-05-05 00:56:31,154809.41,Food,Cafe House,UPI,Bangalore,137428.0,91053.47,14418.73,20095.97,income,0
13,2024-09-06 14:13:34,1474.88,Entertainment,Game Zone,Net Banking,Bangalore,171779.0,115900.02,55801.32,17938.27,expense,0
14,2025-04-17 06:31:47,2165.63,Bills,Broadband Provider,Cash,Remote,79748.0,52137.53,15418.54,8073.8,expense,0
15,2023-08-03 21:22:52,35661.18,Investment,Gold Savings,Debit Card,Mumbai,98781.0,87834.67,31473.82,23267.91,expense,0
16,2025-11-23 02:10:42,7667.39,Travel,Airline Booking,Debit Card,Bangalore,149249.0,108837.23,21067.07,26720.73,expense,0
17,2025-05-09 09:45:22,21663.49,Education,Online Courses,UPI,Hyderabad,50939.0,43929.57,11492.98,10772.99,expense,0
18,2023-06-23 06:57:59,16285.56,Healthcare,MediLab,UPI,Remote,63467.0,40176.97,10653.44,12648.86,expense,0
19,2025-02-16 15:12:10,1017.34,Food,Zomato,UPI,Remote,209245.0,153082.24,50144.39,27160.11,expense,0
20,2025-08-04 00:03:18,132329.77,Healthcare,City Hospital,Net Banking,Remote,202900.0,158822.58,25839.36,47251.84,income,0
21,2025-01-29 00:32:28,671.83,Food,Swiggy,UPI,Hyderabad,45128.0,30652.32,9145.3,7207.87,expense,0
22,2024-01-10 04:20:37,21064.85,Healthcare,Apollo Pharmacy,Credit Card,Bangalore,27869.0,19701.95,9712.44,2374.02,income,0
23,2023-07-19 10:46:50,5925.65,Travel,Airline Booking,Debit Card,Hyderabad,131308.0,101278.78,32965.27,20635.7,expense,0
24,2026-02-07 21:48:09,20339.15,Investment,Brokerage Account,Cash,Bangalore,159055.0,112032.18,30094.97,26162.25,expense,0
25,2024-12-02 08:37:24,589.02,Entertainment,Netflix,Cash,Delhi,192658.0,145047.87,33179.96,30334.52,expense,0
26,2025-05-10 11:41:28,1256.88,Entertainment,BookMyShow,Cash,Chennai,105219.0,93304.04,19067.27,11273.42,expense,0
27,2023-02-18 19:09:35,1056.56,Food,Cafe House,Credit Card,Bangalore,188379.0,141416.73,47207.03,26314.49,expense,0
28,2023-11-29 19:19:37,1984.55,Healthcare,City Hospital,Net Banking,Remote,38545.0,25754.43,12896.6,4418.82,expense,0
29,2023-10-23 18:59:46,8660.86,Bills,Electricity Board,Net Banking,Delhi,191472.0,112645.59,35564.04,14338.86,expense,0
30,2024-12-26 11:56:29,2576.7,Entertainment,Netflix,Net Banking,Delhi,46918.0,40211.95,7021.01,8538.93,expense,0
31,2023-10-25 14:59:44,2506.82,Entertainment,BookMyShow,Debit Card,Chennai,121601.0,108681.98,26690.41,12423.47,expense,0
32,2024-12-19 16:01:28,24103.9,Investment,Brokerage Account,UPI,Bangalore,83053.0,74183.1,26901.55,14894.14,expense,0
33,2023-01-23 22:12:45,6685.11,Travel,Uber,Cash,Chennai,77733.0,61697.19,21167.71,6188.9,expense,0
34,2024-09-14 23:51:56,9216.98,Education,Online Courses,Debit Card,Delhi,213926.0,185622.05,51301.59,25680.46,expense,0
35,2024-03-19 02:51:43,27442.63,Investment,Gold Savings,Net Banking,Mumbai,128481.0,74192.6,11157.89,31160.46,expense,0
36,2024-04-05 22:04:10,14490.71,Education,Book Store,Debit Card,Bangalore,135017.0,75412.43,42520.46,7325.2,expense,0
37,2023-03-30 19:16:33,473.84,Food,Swiggy,UPI,Remote,212116.0,156741.93,28598.86,50604.67,expense,0
38,2023-05-05 10:46:18,13240.13,Shopping,Flipkart,Cash,Chennai,98781.0,87834.67,31473.82,23267.91,expense,0
39,2025-06-03 23:02:19,8176.83,Bills,Water Supply,Credit Card,Delhi,214125.0,156046.07,41262.1,20218.02,expense,0
40,2025-05-28 01:11:13,5438.39,Travel,IRCTC,Cash,Delhi,153583.0,135146.3,39225.8,26346.76,expense,0
41,2024-09-06 19:57:57,4282.79,Entertainment,BookMyShow,UPI,Bangalore,46447.0,31959.37,5054.55,5440.43,expense,0
42,2025-08-22 22:29:43,7004.71,Travel,Uber,Net Banking,Chennai,78682.0,68146.71,19407.8,19363.05,expense,0
43,2023-04-17 20:43:33,14313.08,Healthcare,City Hospital,UPI,Bangalore,93840.0,64875.6,9151.36,9457.48,expense,0
44,2025-08-08 04:59:59,21055.72,Education,Online Courses,UPI,Hyderabad,152534.0,121650.52,43823.09,10289.64,expense,0
